cl_nationality_gen_ord,cl_nationality_gen_en,cl_sex_gen_ord,cl_sex_gen_en,period,cl_quarter_gen_ord,cl_quarter_gen_en,cl_indicators_lf_en,cl_age_group_10_lf_en,obs_value,data_source,is_estimated
1.0,Saudi,1.0,Male,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.7,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,13.6,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.8,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,0.9,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.2,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.4,GASTAT_original_upload,False
999.0,Total,1.0,Male,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.0,GASTAT_original_upload,False
999.0,Total,2.0,Female,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,11.9,GASTAT_original_upload,False
999.0,Total,999.0,Total,2024,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,3.7,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,4.3,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,11.9,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.0,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.1,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,6.2,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
999.0,Total,1.0,Male,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.0,GASTAT_original_upload,False
999.0,Total,2.0,Female,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,10.4,GASTAT_original_upload,False
999.0,Total,999.0,Total,2024,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.5,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,4.0,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,10.5,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.3,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.6,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.0,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,0.8,GASTAT_original_upload,False
999.0,Total,1.0,Male,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.6,GASTAT_original_upload,False
999.0,Total,2.0,Female,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,8.1,GASTAT_original_upload,False
999.0,Total,999.0,Total,2025,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.8,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,4.3,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,11.3,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,6.8,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.2,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.4,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,1.4,GASTAT_original_upload,False
999.0,Total,1.0,Male,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,2.0,GASTAT_original_upload,False
999.0,Total,2.0,Female,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,8.7,GASTAT_original_upload,False
999.0,Total,999.0,Total,2025,2.0,Second Quarter,Unemployment rate by nationality and sex,Total,3.2,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,5.0,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,12.1,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,7.5,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.2,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,4.0,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,1.4,GASTAT_original_upload,False
999.0,Total,1.0,Male,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,9.4,GASTAT_original_upload,False
999.0,Total,999.0,Total,2025,3.0,Third Quarter,Unemployment rate by nationality and sex,Total,3.4,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,5.6,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,10.3,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,7.2,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.9,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,1.7,GASTAT_original_upload,False
999.0,Total,1.0,Male,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,2.5,GASTAT_original_upload,False
999.0,Total,2.0,Female,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,8.2,GASTAT_original_upload,False
999.0,Total,999.0,Total,2025,4.0,Fourth Quarter,Unemployment rate by nationality and sex,Total,3.5,GASTAT_original_upload,False
1.0,Saudi,1.0,Male,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,4.9,GASTAT_original_upload,False
1.0,Saudi,2.0,Female,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,9.0,GASTAT_original_upload,False
1.0,Saudi,999.0,Total,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,6.4,GASTAT_original_upload,False
2.0,Non-Saudi,1.0,Male,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.2,GASTAT_original_upload,False
2.0,Non-Saudi,2.0,Female,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.8,GASTAT_original_upload,False
2.0,Non-Saudi,999.0,Total,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,1.5,GASTAT_original_upload,False
999.0,Total,1.0,Male,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,2.2,GASTAT_original_upload,False
999.0,Total,2.0,Female,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,7.2,GASTAT_original_upload,False
999.0,Total,999.0,Total,2026,1.0,First Quarter,Unemployment rate by nationality and sex,Total,3.1,GASTAT_original_upload,False
